year,title,url,reviews,audience_score,tomatometer,synopsis,rating,genre,original_language,director,producer,writer,release_date_theaters,release_date_streaming,runtime,distributor,aspect_ratio,production_co,split_runtime_hours,split_runtime_mins,runtime_mins
2020,A Thousand Cuts,/m/a_thousand_cuts_2020,44,80,100.0,Journalist Maria Ressa risks her life and freedom as an outspoken critic of Filipino President Rodrigo Duterte's war on drugs.,PG-13 (Thematic Material|Strong Language|Brief Violence),Documentary,English,Ramona S. Diaz,"Ramona S. Diaz, 



Chris Clements, 



Christopher Clements, 



Julie Goldman, 



Carolyn Hepburn, 



Leah Marino",Ramona S. Diaz,2020-08-07,2020-08-07,1h 50m,PBS Distribution,Flat (1.851),Pixar,1.0,50.0,110.0
2020,Coup 53,/m/coup_53,44,86,100.0,"The story of Operation Ajax, the CIA/MI6 staged coup in 1953 in Iran that overthrew Prime Minister Mossadegh.",PG-13 (Thematic Material|Strong Language|Brief Violence),Documentary,English,Taghi Amirani,"Taghi Amirani, 



Paul Zaentz",Taghi Amirani,2020-08-21,2020-08-07,1h 58m,Amirani Media,Flat (1.851),Pixar,1.0,58.0,118.0
2020,Rewind,/m/rewind_2020,44,96,100.0,"Digging through his father's home videos, a young man reconstructs the story of his boyhood and recalls the abuse he suffered through.",PG-13 (Thematic Material|Strong Language|Brief Violence),"Drama, 
                        
                        Documentary",English,Sasha Neulinger,"Avela Grenier, 



Shasta Grenier, 



Robert Schneeweis",Taghi Amirani,2020-08-21,2020-06-12,1h 26m,Amirani Media,Flat (1.851),Pixar,1.0,26.0,86.0
2020,Mayor,/m/mayor,43,85,100.0,"A look at the life of Musa Hadid, the charismatic mayor of Palestinian city Ramallah, who aspires to lead the city into the future.",PG-13 (Thematic Material|Strong Language|Brief Violence),Documentary,English,David Osit,David Osit,Taghi Amirani,2020-08-21,2021-02-14,1h 29m,Amirani Media,Scope (2.351),Pixar,1.0,29.0,89.0
2020,Mystify: Michael Hutchence,/m/mystify_michael_hutchence,41,94,100.0,"Archival footage, private home movies and intimate interviews offer insight into the extraordinary life and career of former INXS singer Michael Hutchence.",PG-13 (Thematic Material|Strong Language|Brief Violence),"Biography, 
                        
                        Music, 
                        
                        Documentary",English (Australia),Richard Lowenstein,"John Battsek, 



Andrew de Groot",Richard Lowenstein,2020-08-21,2020-01-21,1h 48m,Amirani Media,Scope (2.351),Pixar,1.0,48.0,108.0
2020,"Acasa, My Home",/m/acasa_my_home,40,80,100.0,A rural Romanian couple and their nine children must learn to live in the big city.,PG-13 (Thematic Material|Strong Language|Brief Violence),Documentary,Romanian,Radu Ciorniciuc,"Erkko Lyytinen, 



Monica Lazurean-Gorgan, 



Alina David",Richard Lowenstein,2021-01-15,2021-03-15,1h 26m,Zeitgeist Films,Scope (2.351),Pixar,1.0,26.0,86.0
2020,The Half of It,/m/the_half_of_it,102,81,97.0,"A shy, introverted student helps the school jock woo a girl whom, secretly, they both want.",PG-13 (Brief Language|Teen Drinking),"Comedy, 
                        
                        Lgbtq+, 
                        
                        Romance",English,Alice Wu,"Blair Breard, 



Anthony Bregman, 



Alice Wu",Alice Wu,2021-01-15,2020-05-02,1h 45m,Zeitgeist Films,Scope (2.351),Pixar,1.0,45.0,105.0
2020,The Painter and the Thief,/m/the_painter_and_the_thief,110,86,96.0,Czech artist Barbora Kysilkova develops an unlikely friendship with the man who stole two of her paintings.,PG-13 (Brief Language|Teen Drinking),Documentary,English,Benjamin Ree,Ingvil Giske,Alice Wu,2020-05-22,2020-05-22,1h 42m,Neon,Scope (2.351),Pixar,1.0,42.0,102.0
2020,City Hall,/m/city_hall_2020,64,64,98.0,Filmmaker Frederick Wiseman examines the rich history of Boston City Hall.,PG-13 (Brief Language|Teen Drinking),Documentary,English,Frederick Wiseman,Ingvil Giske,Alice Wu,2020-05-22,2020-05-22,4h 35m,Neon,Scope (2.351),Pixar,4.0,35.0,275.0
2020,Anything for Jackson,/m/anything_for_jackson,63,70,98.0,A sinister couple hatch a supernatural scheme to resurrect their dead grandson through a pregnant woman.,PG-13 (Brief Language|Teen Drinking),Horror,English,Justin G. Dyck,"Keith Cooper, 



Justin G. Dyck, 



Christopher Giroux, 



Bill Marks",Keith Cooper,2020-05-22,2020-12-03,1h 37m,Neon,Scope (2.351),Pixar,1.0,37.0,97.0
2020,Vitalina Varela,/m/vitalina_varela,62,59,98.0,A woman moves from Cape Verde to her deceased husband's shack on the outskirts of Lisbon.,PG-13 (Brief Language|Teen Drinking),Drama,Portuguese,Pedro Costa,Abel Ribeiro Chaves,"Pedro Costa, 



Vitalina Varela",2020-02-21,2020-09-18,2h 4m,Grasshopper Film,Scope (2.351),Pixar,2.0,4.0,124.0
2020,Beats,/m/beats_2020,62,77,98.0,In 1994 two Scottish friends head out for a final night of partying before they go their separate ways.,PG-13 (Brief Language|Teen Drinking),"Comedy, 
                        
                        Drama",English (United Kingdom),Brian Welsh,Camilla Bray,"Kieran Hurley, 



Brian Welsh",2020-02-21,2020-09-02,1h 41m,Grasshopper Film,Scope (2.351),Pixar,1.0,41.0,101.0
2020,Night of the Kings (La Nuit des Rois),/m/night_of_the_kings,104,57,96.0,"A young man is sent to ""La Maca,"" a prison in the middle of the Ivorian forest ruled by its inmates. As tradition goes with the rising of the red moon, he is designated by the Boss to be the new ""Roman"" and must tell a story to the other prisoners. Learning what fate awaits him, he begins to narrate the mystical life of the legendary outlaw named ""Zama King"" and has no choice but to make his story last until dawn.",R (Nudity|Language|Some Violent Material),Drama,French (France),Philippe Lacôte,"Delphine Jaquet, 



Ernest Konan, 



Yanick Létourneau",Philippe Lacôte,2021-02-26,2021-03-05,1h 33m,Neon,Scope (2.351),Pixar,1.0,33.0,93.0
2020,Bacurau (Nighthawk),/m/bacurau,167,84,93.0,,R (Nudity|Language|Some Violent Material),"Mystery & thriller, 
                        
                        Drama, 
                        
                        Fantasy",Portuguese (Brazil),"Kleber Mendonça Filho, 



Juliano Dornelles","Saïd Ben Saïd, 



Emilie Lesclaux, 



Michel Merkt","Juliano Dornelles, 



Kleber Mendonça Filho",2021-02-26,2020-05-12,2h 12m,Neon,Scope (2.351),Pixar,2.0,12.0,132.0
2020,Boys State,/m/boys_state,145,90,95.0,"A raucous journey into the heart of democracy captures an unusual rite of passage: 1,100 teenage boys from across Texas come together to build a representative government from the ground up.",PG-13 (Some Strong Language|Thematic Elements),Documentary,English,"Amanda McBaine, 



Jesse Moss","Jesse Moss, 



Amanda McBaine","Juliano Dornelles, 



Kleber Mendonça Filho",2020-07-31,2020-08-14,1h 49m,Neon,Scope (2.351),Pixar,1.0,49.0,109.0
2020,Circus of Books,/m/circus_of_books,59,80,98.0,"In 1976 a couple take over an adult book store, and the store becomes the biggest distributor of gay porn in the United States.",PG-13 (Some Strong Language|Thematic Elements),"Lgbtq+, 
                        
                        Biography, 
                        
                        Documentary",English,Rachel Mason,"Adam Baran, 



Cynthia Childs, 



Camilla Hall, 



Kathryn Robson","Kathryn Robson, 



Rachel Mason",2020-07-31,2020-04-22,1h 32m,Neon,Scope (2.351),Pixar,1.0,32.0,92.0
2020,Saint Maud,/m/saint_maud,185,64,93.0,"The debut film from writer-director Rose Glass, Saint Maud is a chilling and boldly original vision of faith, madness, and salvation in a fallen world. Maud, a newly devout hospice nurse, becomes obsessed with saving her dying patient's soul -- but sinister forces, and her own sinful past, threaten to put an end to her holy calling.",R (Language|Disturbing and Violent Content|Sexual Content),Horror,English,Rose Glass,"Oliver Kassman, 



Andrea Cornwell",Rose Glass,2021-01-29,2021-02-12,1h 24m,A24,Scope (2.351),Pixar,1.0,24.0,84.0
2020,"Why Don't You Just Die! (Papa, sdokhni)",/m/why_dont_you_just_die,76,84,97.0,,R (Language|Disturbing and Violent Content|Sexual Content),Horror,English,,"Oliver Kassman, 



Andrea Cornwell",Rose Glass,2021-01-29,2021-02-12,1h 24m,A24,Scope (2.351),Pixar,1.0,24.0,84.0
2020,Enola Holmes,/m/enola_holmes,204,70,91.0,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",PG-13 (Some Violence),"Mystery & thriller, 
                        
                        Action, 
                        
                        Adventure, 
                        
                        Crime",English,Harry Bradbeer,"Millie Bobby Brown, 



Paige Brown, 



Alex Garcia, 



Ali Mendes, 



Mary Parent",Nancy Springer,2021-01-29,2020-09-24,2h 3m,A24,Scope (2.351),Pixar,2.0,3.0,123.0
2020,Disclosure,/m/disclosure_2020_2,54,86,98.0,A look at Hollywood's depiction of transgender people and the impact of this on American culture.,PG-13 (Some Violence),Documentary,English,Sam Feder,"Sam Feder, 



Amy Scholder",Nancy Springer,2021-01-29,2020-06-19,1h 40m,A24,Scope (2.351),Pixar,1.0,40.0,100.0
2020,Apples (Mila),/m/apples,53,,98.0,"Amidst a worldwide pandemic that causes sudden amnesia, middle-aged Aris (Aris Servetalis) finds himself enrolled in a recovery program designed to help unclaimed patients build new identities. Prescribed daily tasks on cassette tapes so he can create new memories and document them on camera, Aris slides back into ordinary life, meeting Anna (Sofia Georgovasili), a woman who is also in recovery. Through images deadpan, strange and surreal, Greek writer-director Christos Nikou posits a beguiling reflection on memory, identity, and loss, exploring how a society might handle an irreversible epidemic through one man's story of self-discovery. Are we the sum of the images we compile and display of ourselves, or are we something richer, and deeper?",PG-13 (Some Violence),"Comedy, 
                        
                        Drama",English,Christos Nikou,"Iraklis Mavroidis, 



Angelos Venetis, 



Aris Dagios, 



Mariusz Włodarski, 



Christos Nikou","Christos Nikou, 



Stavros Raptis",2022-06-24,2020-06-19,1h 31m,Cohen Media Group,Scope (2.351),Pixar,1.0,31.0,91.0
2020,La Llorona,/m/la_llorona_2019,95,61,96.0,"Alma is murdered with her children during a military attack in Guatemala, but when the general who ordered the genocide is found not guilty 30 years later, Alma returns to the world of the living to torment the man.",PG-13 (Some Violence),"Mystery & thriller, 
                        
                        Crime, 
                        
                        Horror, 
                        
                        Drama",Spanish,Jayro Bustamante,"Jayro Bustamante, 



Gustavo Matheu, 



Georges Renand, 



Marina Peralta","Jayro Bustamante, 



Lisandro Sanchez",2022-06-24,2020-08-06,1h 37m,Cohen Media Group,Scope (2.351),Pixar,1.0,37.0,97.0
2020,The Dissident,/m/the_dissident,94,80,96.0,"When Washington Post journalist Jamal Khashoggi disappears after entering Saudi Arabia's consulate in Istanbul, his fiancée and dissidents around the world are left to piece together the clues to a brutal murder and expose a global cover-up perpetrated by the very country he loved.",PG-13 (Disturbing/Violent Material),Documentary,Arabic,Bryan Fogel,"Bryan Fogel, 



Thor Halvorssen, 



Mark Monroe, 



Jake Swantko","Bryan Fogel, 



Mark Monroe",2020-12-25,2021-01-08,1h 59m,Briarcliff Entertainment,Scope (2.351),Pixar,1.0,59.0,119.0
2020,News of the World,/m/news_of_the_world,265,89,88.0,"Five years after the end of the Civil War, Capt. Jefferson Kyle Kidd crosses paths with a 10-year-old girl taken by the Kiowa people. Forced to return to her aunt and uncle, Kidd agrees to escort the child across the harsh and unforgiving plains of Texas. However, the long journey soon turns into a fight for survival as the traveling companions encounter danger at every turn -- both human and natural.",PG-13 (Some Language|Disturbing Images|Thematic Material|Violence),"Western, 
                        
                        Adventure, 
                        
                        Drama",English,Paul Greengrass,"Gary Goetzman, 



Gail Mutrux, 



Gregory Goodman","Paul Greengrass, 



Luke Davies",2020-12-25,2021-01-15,1h 58m,Universal Pictures,Scope (2.351),Pixar,1.0,58.0,118.0
2020,There Is No Evil (Sheytan vojud nadarad),/m/there_is_no_evil,50,,98.0,"Shot in secret and smuggled out of Iran, There is No Evil is an anthology film comprising four moral tales about men faced with a simple yet unthinkable choice -- to follow orders to enforce the death penalty, or resist and risk everything. Whatever they decide, it will directly or indirectly affect their lives, their relationships, and their consciences. Says director Mohammad Rasoulof: ""As responsible citizens, do we have a choice when enforcing the inhumane orders of despots? As human beings, to what extent are we to be held responsible for carrying out those orders? Where does the duality of love and moral responsibility leave us?"" Suspenseful, mysterious, and shot through with a sense of urgency, Rasoulof's film is an incisive look at the moral strength and inner humanity of its protagonists.",PG-13 (Some Language|Disturbing Images|Thematic Material|Violence),Drama,Persian,Mohammad Rasoulof,"Kaveh Farnam, 



Farzad Pak, 



Mohammad Rasoulof",Mohammad Rasoulof,2021-05-14,2021-07-13,2h 31m,Kino Lorber,Scope (2.351),Pixar,2.0,31.0,151.0
2020,Farewell Amor,/m/farewell_amor,71,69,97.0,"After 17 years apart, Angolan immigrant Walter is joined in the U.S. by his wife and teen daughter. Now absolute strangers sharing a one bedroom Brooklyn apartment, they struggle to overcome the emotional distance between them. Walter is trying to let go of a previous relationship while his wife Esther struggles with a new country, culture and a husband who seems distant. Their daughter Sylvia is a dancer just like her father, and while she also finds her new life difficult, she bravely starts to explore the city and show herself through dance. The film is both a universal immigrant story and the unique perspective of three characters bound together by history and hope. It is an intimate and deeply personal look at an inter-generational tale that has defined America since its inception.",PG-13 (Some Language|Disturbing Images|Thematic Material|Violence),Drama,English,Ekwa Msangi,"Huriyyah Muhammad, 



Sam Bisbee, 



Josh Penn",Ekwa Msangi,2020-12-11,2020-12-11,1h 41m,IFC Films,Scope (2.351),Pixar,1.0,41.0,101.0
2020,Sweat,/m/sweat_2020,49,72,98.0,"Beloved fitness influencer Sylwia seemingly has it made: hundreds of thousands of social media followers, endorsement deals, photo spreads in magazines. But as she starts to share more and more online, the rising pressure from concerned sponsors and increasingly obsessive fans forces her to confront her deepest insecurities and the exhaustive demands of her lifestyle.",PG-13 (Some Language|Disturbing Images|Thematic Material|Violence),Drama,Polish,Magnus von Horn,Mariusz Włodarski,Magnus von Horn,2021-06-18,2021-07-23,1h 47m,MUBI,Scope (2.351),Pixar,1.0,47.0,107.0
2020,Fourteen,/m/fourteen_2019,47,56,98.0,Two childhood friends weather life together with varying degrees of success.,PG-13 (Some Language|Disturbing Images|Thematic Material|Violence),Drama,English,Dan Sallitt,Caitlin Mae Burke,Dan Sallitt,2020-05-15,2020-05-15,1h 34m,Grasshopper Film,Scope (2.351),Pixar,1.0,34.0,94.0
2020,House of Hummingbird (Beolsae),/m/house_of_hummingbird,47,73,98.0,"In 1994 Seoul when the Seongsu Bridge collapses, 14-year-old Eunhee wanders the city and searches for love.",PG-13 (Some Language|Disturbing Images|Thematic Material|Violence),Drama,Korean,Bora Kim,"Bora Kim, 



Zoe Sua Cho",Bora Kim,2020-06-26,2020-08-04,2h 18m,Well Go USA Entertainment,Scope (2.351),Pixar,2.0,18.0,138.0
2020,The Go-Go's,/m/the_go_gos,45,95,98.0,"The Go-Go's become the first successful, all-girl band to write their own songs and play their own instruments while making it to No. 1 on the charts.",PG-13 (Some Language|Disturbing Images|Thematic Material|Violence),"Music, 
                        
                        Documentary",English,Alison Ellwood,"Trevor Birney, 



Eimhear O'Neill, 



Corey Russell",Bora Kim,2020-06-26,2020-07-31,1h 38m,Well Go USA Entertainment,Scope (2.351),Pixar,1.0,38.0,98.0
2020,Make Up,/m/make_up_2020,45,,98.0,A teen makes an unsettling discovery about her boyfriend that lures her into a spiral of obsession.,PG-13 (Some Language|Disturbing Images|Thematic Material|Violence),"Drama, 
                        
                        Mystery & thriller",English (United Kingdom),Claire Oakley,Emily Morgan,Claire Oakley,2020-11-13,2020-12-15,1h 26m,Mutiny Pictures,Scope (2.351),Pixar,1.0,26.0,86.0
2020,Fireball: Visitors from Darker Worlds,/m/fireball_visitors_from_darker_worlds,44,61,98.0,"A journey across the planet and universe explores how meteorites, shooting stars and deep impacts have awoken wonder about other realms -- and make people rethink their destinies.",PG-13 (Some Language|Disturbing Images|Thematic Material|Violence),Documentary,English,"Werner Herzog, 



Clive Oppenheimer","André Singer, 



Lucki Stipetic",Werner Herzog,2020-11-13,2020-11-13,1h 37m,Mutiny Pictures,Scope (2.351),Pixar,1.0,37.0,97.0
2020,On The Rocks,/m/on_the_rocks_2020,279,50,87.0,"Faced with sudden doubts about her marriage, a young New York mother teams up with her larger-than-life playboy father to tail her husband.",R,Comedy,English,Sofia Coppola,"Sofia Coppola, 



Youree Henley",Sofia Coppola,2020-10-02,2020-10-23,1h 36m,A24,Flat (1.851),Pixar,1.0,36.0,96.0
2020,The Last Tree,/m/the_last_tree,43,65,98.0,"After growing up in quiet, rural Lincolnshire, teenager Femi struggles with unfamiliar surroundings and cultural differences when he moves in with his mother in London.",R,Drama,English (United Kingdom),Shola Amoo,"Lee Thomas, 



Myf Hopkins",Shola Amoo,2020-06-26,2020-06-26,1h 40m,ArtMattan Films,Flat (1.851),Pixar,1.0,40.0,100.0
2020,Babyteeth,/m/babyteeth,150,85,93.0,,R,"Comedy, 
                        
                        Drama",English (Australia),Shannon Murphy,Alex White,Rita Kalnejais,2020-06-26,2020-06-18,1h 57m,ArtMattan Films,Flat (1.851),Pixar,1.0,57.0,117.0
2020,The Human Voice (La Voz Humana),/m/the_human_voice_2020,64,68,97.0,"A woman watches time passing next to the suitcases of her ex-lover -- who is supposed to come pick her up, and his dog. She and the dog, which doesn't understand that its master has abandoned it, wait for him.",R,Drama,Spanish (Spain),Pedro Almodóvar,Alex White,Pedro Almodóvar,2021-03-12,2021-05-02,30m,Sony Classics,Flat (1.851),Pixar,0.5,0.0,30.0
2020,Spontaneous,/m/spontaneous,64,67,97.0,"When students in their high school inexplicably start to explode, seniors Mara and Dylan struggle to survive in a world where each moment may be their last. As an unexpected romance blossoms between them, they soon discover that when tomorrow is no longer promised, they can finally start living for today.",R (Language|Bloody Images Throughout|Teen Drug and Alcohol Use),"Horror, 
                        
                        Romance",English,Brian Duffield,"Nicki Cortese, 



Brian Duffield, 



Matthew Kaplan, 



Jordan Levin",Brian Duffield,2020-10-02,2020-10-06,1h 42m,Sony Classics,Scope (2.351),Pixar,1.0,42.0,102.0
2020,Rocks,/m/rocks,64,79,97.0,A London teen takes care of her younger brother after their mother abruptly leaves.,R (Language|Bloody Images Throughout|Teen Drug and Alcohol Use),Drama,English (United Kingdom),Sarah Gavron,"Ameenah Ayub Allen, 



Faye Ward, 



Hannah Farrell","Claire Wilson, 



Theresa Ikoko",2020-10-02,2021-02-02,1h 33m,Sony Classics,Scope (2.351),Pixar,1.0,33.0,93.0
2020,Assassins,/m/assassins_2020,42,83,98.0,"The audacious murder of the brother of North Korea’s Supreme Leader Kim Jon Un in a crowded Malaysian airport sparked a worldwide media frenzy. At the center of the investigation are two young women who are either cold-blooded killers or unwitting pawns in a political assassination. ASSASSINS goes beyond the headlines to question every angle of this case, from human trafficking to geo-political espionage to the secretive dynamics of the North Korean dynasty.",R (Language|Bloody Images Throughout|Teen Drug and Alcohol Use),"Biography, 
                        
                        Documentary",Vietnamese,Ryan White,"Jessica Hargrave, 



Ryan White","Claire Wilson, 



Theresa Ikoko",2020-12-11,2021-01-15,1h 44m,Greenwich Entertainment,Scope (2.351),Pixar,1.0,44.0,104.0
2020,The Boy Behind the Door,/m/the_boy_behind_the_door,62,65,97.0,"In The Boy Behind the Door, a night of unimaginable terror awaits twelve-year-old Bobby (Lonnie Chavis) and his best friend, Kevin (Ezra Dewey), when they are abducted on their way home from school. Managing to escape his confines, Bobby navigates the dark halls, praying his presence goes unnoticed as he avoids his captor at every turn. Even worse is the arrival of another stranger, whose mysterious arrangement with the kidnapper may spell certain doom for Kevin. With no means of calling for help and miles of dark country in every direction, Bobby embarks on a rescue mission, determined to get himself and Kevin out alive... or die trying.",R (Language|Bloody Images Throughout|Teen Drug and Alcohol Use),"Horror, 
                        
                        Mystery & thriller",English,"David Charbonier, 



Justin Powell","Ryan Lewis, 



John Hermann, 



Jim Hart, 



Ryan Scaringe, 



Rick Rosenthal","David Charbonier, 



Justin Powell",2020-12-11,2021-07-29,1h 28m,Greenwich Entertainment,Scope (2.351),Pixar,1.0,28.0,88.0
2020,A Shaun the Sheep Movie: Farmageddon,/m/a_shaun_the_sheep_movie_farmageddon,79,80,96.0,"When a UFO crash-lands near Mossy Bottom Farm, it's up to Shaun the sheep and his animal friends to help a stranded extraterrestrial find its way home.",G,"Comedy, 
                        
                        Animation, 
                        
                        Adventure, 
                        
                        Kids & family, 
                        
                        Sci-fi",English (United Kingdom),"Richard Phelan, 



Will Becher",Paul Kewley,"Mark Burton, 



Jon Brown",2020-12-11,2020-02-14,1h 27m,Greenwich Entertainment,Scope (2.351),Pixar,1.0,27.0,87.0
2020,Kajillionaire,/m/kajillionaire,206,47,90.0,"Two con artists have spent 26 years training their only daughter to swindle, scam and steal at every turn. During a desperate and hastily conceived heist, they charm a stranger into joining them, only to have their entire world turned upside down.",R (Some Sexual References|Language),"Comedy, 
                        
                        Drama",English,Miranda July,"Dede Gardner, 



Youree Henley, 



Jeremy Kleiner",Miranda July,2020-09-25,2020-10-14,1h 44m,Focus Features,Scope (2.351),Pixar,1.0,44.0,104.0
2020,Just Mercy,/m/just_mercy,306,99,85.0,"After graduating from Harvard, Bryan Stevenson heads to Alabama to defend those wrongly condemned or those not afforded proper representation. One of his first cases is that of Walter McMillian, who is sentenced to die in 1987 for the murder of an 18-year-old girl, despite evidence proving his innocence. In the years that follow, Stevenson encounters racism and legal and political maneuverings as he tirelessly fights for McMillian's life.",PG-13 (Thematic Content|Some Racial Epithets),Drama,English,Destin Daniel Cretton,"Gil Netter, 



Asher Goldstein, 



Michael B. Jordan","Destin Daniel Cretton, 



Andrew Lanham",2020-01-10,2019-12-25,2h 16m,Warner Bros. Pictures,Flat (1.851),Pixar,2.0,16.0,136.0
2020,Zappa,/m/zappa_2020,70,79,96.0,"With unfettered access to the Zappa family trust and all archival footage, ZAPPA explores the private life behind the mammoth musical career that never shied away from the political turbulence of its time. Alex Winter’s assembly features appearances by Frank’s widow Gail Zappa and several of Frank’s musical collaborators including Mike Keneally, Ian Underwood, Steve Vai, Pamela Des Barres, Bunk Gardner, David Harrington, Scott Thunes, Ruth Underwood, Ray White and others.",PG-13 (Thematic Content|Some Racial Epithets),"Biography, 
                        
                        Music, 
                        
                        Documentary",English,Alex Winter,"Jade Allen, 



Devorah DeVries, 



John Frizzell, 



Alex Winter, 



Ahmet Zappa, 



Glen Zipper",Alex Winter,2020-11-23,2020-11-27,2h 9m,Magnolia Pictures,Flat (1.851),Pixar,2.0,9.0,129.0
2020,Slaxx,/m/slaxx,69,45,96.0,"A possessed pair of jeans is brought to life to punish the unscrupulous practices of a trendy clothing company. Shipped to the company's flagship store, Slaxx proceeds to wreak carnage on staff locked in overnight to set up the new collection.",PG-13 (Thematic Content|Some Racial Epithets),"Comedy, 
                        
                        Horror",English,Elza Kephart,"Patricia Gomez, 



Anne-Marie Gélinas","Patricia Gomez, 



Elza Kephart",2020-11-23,2021-03-18,1h 17m,Magnolia Pictures,Flat (1.851),Pixar,1.0,17.0,77.0
2020,Borat: Subsequent Moviefilm,/m/borat_subsequent_moviefilm,303,62,85.0,"Released from prison for bringing shame to his country, Kazakh funnyman Borat risks life and limb when he returns to America with his 15-year-old daughter.",R (Graphic Nudity|Strong Crude & Sexual Content|Language),Comedy,English,Jason Woliner,"Sacha Baron Cohen, 



Anthony Hines, 



Monica Levinson","Sacha Baron Cohen, 



Anthony Hines, 



Dan Swimer, 



Peter Baynham, 



Erica Rivinoja, 



Dan Mazer, 



Jena Friedman, 



Lee Kern",2020-11-23,2020-10-23,1h 36m,Magnolia Pictures,Flat (1.851),Pixar,1.0,36.0,96.0
2020,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),/m/birds_of_prey_2020,430,78,79.0,"It's open season on Harley Quinn when her explosive breakup with the Joker puts a big fat target on her back. Unprotected and on the run, Quinn faces the wrath of narcissistic crime boss Black Mask, his right-hand man, Victor Zsasz, and every other thug in the city. But things soon even out for Harley when she becomes unexpected allies with three deadly women -- Huntress, Black Canary and Renee Montoya.",R (Some Sexual and Drug Material|Language Throughout|Strong Violence),"Comedy, 
                        
                        Action",English,Cathy Yan,"Margot Robbie, 



Bryan Unkeless, 



Sue Kroll",Christina Hodson,2020-02-07,2020-03-23,1h 49m,Warner Bros. Pictures,Scope (2.351),DC Extended Universe,1.0,49.0,109.0
2020,Love and Monsters,/m/love_and_monsters,108,89,94.0,"Seven years after the Monsterpocalypse, Joel Dawson, along with the rest of humanity, has been living underground ever since giant creatures took control of the land. After reconnecting over the radio with his high school girlfriend, Aimee, who is now 80 miles away at a coastal colony, Joel begins to fall for her again. As Joel realizes that there's nothing left for him underground, he decides to venture out to Aimee, despite all the dangerous monsters that stand in his way.",PG-13 (Some Suggestive Material|Language|Action/Violence),"Comedy, 
                        
                        Fantasy, 
                        
                        Adventure",English,Michael Matthews,"Shawn Levy, 



Dan Cohen","Brian Duffield, 



Matthew Robinson",2020-10-16,2020-10-16,1h 49m,Paramount Pictures,Scope (2.351),DC Extended Universe,1.0,49.0,109.0
2020,The White Tiger,/m/the_white_tiger_2020,171,80,91.0,"Balram Halwai (Adarsh Gourav) narrates his epic and darkly humorous rise from poor villager to successful entrepreneur in modern India. Cunning and ambitious, our young hero jockeys his way into becoming a driver for Ashok (Rajkummar Rao) and Pinky (Priyanka Chopra-Jonas), who have just returned from America. Society has trained Balram to be one thing -- a servant -- so he makes himself indispensable to his rich masters. But after a night of betrayal, he realizes the corrupt lengths they will go to trap him and save themselves. On the verge of losing everything, Balram rebels against a rigged and unequal system to rise up and become a new kind of master. Based on the New York Times bestseller and 2008 Man Booker Prize-winning novel.",R (Language|Violence|Sexual Material),Drama,Hindi,Ramin Bahrani,"Ramin Bahrani, 



Mukul Deora",Ramin Bahrani,2021-01-13,2021-01-22,2h 6m,Paramount Pictures,Scope (2.351),DC Extended Universe,2.0,6.0,126.0
2020,"Yes, God, Yes",/m/yes_god_yes,126,65,93.0,A Catholic girl finds herself having tempting thoughts after an AOL chat turns unexpectedly racy.,R (Some Nudity|Sexual Content),Comedy,English,Karen Maine,"Katie Cordeal, 



Colleen Hammond",Karen Maine,2020-07-24,2020-07-28,1h 18m,Vertical Entertainment,Scope (2.351),DC Extended Universe,1.0,18.0,78.0
